ENSGID	NCBI_id
ENSG00000127324	7103
ENSG00000131844	64087
ENSG00000152291	10618
ENSG00000163501	3549
ENSG00000136942	11224
ENSG00000178449	84987
ENSG00000023734	11171
ENSG00000170476	51237
ENSG00000205426	3887
ENSG00000180432	1582
ENSG00000184908	1188
ENSG00000175130	65108
ENSG00000151224	4143
ENSG00000158467	23382
ENSG00000078804	58476
ENSG00000162522	57648
ENSG00000071967	79901
ENSG00000108244	25984
ENSG00000173812	10209
ENSG00000160182	7031
ENSG00000134954	2113
ENSG00000081923	5205
ENSG00000183255	754
ENSG00000169710	2194
ENSG00000086598	10959
ENSG00000116350	6429
ENSG00000123989	79586
ENSG00000147257	2719
ENSG00000146072	27242
ENSG00000137198	2766
ENSG00000096092	28978
ENSG00000148303	6130
ENSG00000101474	57136
ENSG00000180964	90843
ENSG00000152377	6695
ENSG00000197256	25959
ENSG00000099875	2872
ENSG00000131473	47
ENSG00000104081	90427
ENSG00000168685	3575
ENSG00000182718	302
ENSG00000143878	388
ENSG00000180573	8334
ENSG00000102837	10562
ENSG00000108774	5878
ENSG00000229314	5004
ENSG00000169020	521
ENSG00000205403	3426
ENSG00000019169	8685
ENSG00000138326	6229
ENSG00000146674	3486
ENSG00000148672	2746
ENSG00000147872	123
ENSG00000167644	64073
ENSG00000168394	6890
ENSG00000100911	5721
ENSG00000168710	10768
ENSG00000172354	2783
ENSG00000126878	83543
ENSG00000165507	11067
ENSG00000058262	29927
ENSG00000112081	6428
ENSG00000112695	1347
ENSG00000133116	9365
ENSG00000066322	64834
ENSG00000176658	4642
ENSG00000113368	4001
ENSG00000106333	5118
ENSG00000106178	6369
ENSG00000147955	10280
ENSG00000118520	383
ENSG00000198816	140467
ENSG00000130985	7317
ENSG00000111229	10094
ENSG00000146859	55281
ENSG00000134762	1825
ENSG00000075239	38
ENSG00000142627	1969
ENSG00000101057	4605
ENSG00000160211	2539
ENSG00000167470	90007
ENSG00000162174	80150
ENSG00000160180	7033
ENSG00000140297	9245
ENSG00000089248	10961
ENSG00000184007	8073
ENSG00000204264	5696
ENSG00000130222	10912
ENSG00000198851	916
ENSG00000179271	90480
ENSG00000162438	11330
ENSG00000169442	1043
ENSG00000110711	9049
ENSG00000158050	1844
ENSG00000070831	998
ENSG00000123144	79002
ENSG00000204568	28973
ENSG00000100380	6767
ENSG00000134258	79679
ENSG00000158869	2207
ENSG00000166816	197257
ENSG00000245910	641638
ENSG00000156642	27020
ENSG00000160862	563
ENSG00000167183	79170
ENSG00000150753	22948
ENSG00000175084	1674
ENSG00000179218	811
ENSG00000155850	1836
ENSG00000120738	1958
ENSG00000111057	3875
ENSG00000137767	58472
ENSG00000069122	221395
ENSG00000166295	119504
ENSG00000170348	10972
ENSG00000172809	6169
ENSG00000166598	7184
ENSG00000115310	57142
ENSG00000100097	3956
ENSG00000025708	1890
ENSG00000113732	8992
ENSG00000127022	821
ENSG00000143536	49860
ENSG00000089063	29058
ENSG00000133872	51669
ENSG00000225383	207107
ENSG00000134107	8553
ENSG00000167526	6137
ENSG00000159763	5304
ENSG00000099994	56241
ENSG00000129654	2302
ENSG00000175567	7351
ENSG00000179751	342898
ENSG00000164754	5885
ENSG00000120742	27230
ENSG00000152620	133686
ENSG00000124237	128602
ENSG00000243649	629
ENSG00000065978	4904
ENSG00000143248	8490
ENSG00000164325	134288
ENSG00000172830	54961
ENSG00000143761	375
ENSG00000065357	1606
ENSG00000204628	10399
ENSG00000133710	11005
ENSG00000135046	301
ENSG00000196735	3117
ENSG00000182271	388364
ENSG00000124214	6780
ENSG00000231500	6222
ENSG00000143546	6279
ENSG00000126457	3276
ENSG00000231389	3113
ENSG00000050405	51474
ENSG00000072506	3028
ENSG00000151503	23310
ENSG00000100138	4809
ENSG00000269893	100093630
ENSG00000090013	645
ENSG00000147684	4715
ENSG00000042445	54884
ENSG00000103363	6923
ENSG00000119711	4329
ENSG00000172037	3913
ENSG00000188536	3040
ENSG00000105880	1749
ENSG00000100994	5834
ENSG00000232112	51372
ENSG00000182919	28970
ENSG00000160654	917
ENSG00000100991	26133
ENSG00000132386	5176
ENSG00000131400	9476
ENSG00000189043	4697
ENSG00000010278	928
ENSG00000108602	218
ENSG00000067167	23471
ENSG00000167460	7171
ENSG00000100665	5267
ENSG00000134339	6289
ENSG00000140093	51156
