ENSGID	NCBI_id
ENSG00000180432	1582
ENSG00000143878	388
ENSG00000180573	8334
ENSG00000188536	3040
ENSG00000260032	647979
ENSG00000188486	3014
ENSG00000179918	22928
ENSG00000200795	26835
ENSG00000126803	3306
ENSG00000202198	125050
ENSG00000252010	677775
ENSG00000179862	163732
ENSG00000165215	1365
ENSG00000178726	7056
ENSG00000200156	26832
ENSG00000178363	810
ENSG00000184292	4070
ENSG00000189060	3005
ENSG00000178913	6879
ENSG00000124766	6659
ENSG00000189241	7259
ENSG00000236552	728658
ENSG00000189143	1364
ENSG00000275896	5645
ENSG00000155876	10670
ENSG00000201098	6084
ENSG00000182195	23641
ENSG00000187479	387763
ENSG00000176907	56892
ENSG00000255302	23741
ENSG00000178372	51806
ENSG00000169564	5093
ENSG00000204389	3303
ENSG00000196126	3123
ENSG00000130522	3727
ENSG00000171223	3726
ENSG00000182636	4692
ENSG00000156284	9073
ENSG00000128739	6638
ENSG00000172216	1051
ENSG00000177606	3725
ENSG00000221869	1052
ENSG00000176435	161198
ENSG00000177383	64110
ENSG00000229391	3128
ENSG00000164379	94234
ENSG00000134590	8933
ENSG00000222028	122706
ENSG00000187837	3006
ENSG00000212232	692086
ENSG00000181449	6657
ENSG00000184678	8349
ENSG00000199753	692227
ENSG00000174807	57124
ENSG00000241119	54600
ENSG00000169976	83443
ENSG00000184897	8971
ENSG00000125817	1059
ENSG00000274012	378706
ENSG00000180447	2619
ENSG00000254709	100423062
ENSG00000244734	3043
ENSG00000200087	26768
ENSG00000175793	2810
ENSG00000253958	137075
ENSG00000204388	3304
ENSG00000178695	115207
ENSG00000199568	26831
ENSG00000207652	693206
ENSG00000202538	26834
