ENSGID	NCBI_id	adrenal	appendix	bone marrow	brain	colon	duodenum	endometrium	esophagus	fat	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate	salivary gland	skin	small intestine	spleen	stomach	testis	thyroid	urinary bladder	avg	num
ENSG00000127324	7103	4.62	65.8	0.00837	1.11	464	389	5.1	2.18	5.69	103	0.551	16	7.73	11.5	1.65	14.6	6.14	0.537	80.7	8.97	1.09	369	0.148	243	3.26	0.706	4.86	67.07223592592592	6
ENSG00000131844	64087	18	7.58	2.1	6.78	13.8	12.1	7.66	8.68	11.8	8.9	16.3	27	23	6.16	8.71	5.22	2.56	6.91	27.1	5.44	7.82	9.45	6.55	9.49	5.31	25.5	15.3	11.304444444444446	10
ENSG00000152291	10618	39.7	47.9	46.6	40.8	52.6	54.1	36.9	22.9	34.5	50.3	25.2	63.9	40.3	50.2	37.6	30	7	40.7	39.5	13.6	19	56.6	45.6	34.7	28.4	61.7	37.9	39.192592592592604	15
ENSG00000163501	3549	0.0378	1.12	0.00181	0.0151	13.1	6.53	15.6	0.119	0.0839	0.541	0.00641	1.69	0.29	1.28	0.0119	0	0.00648	0.126	1.55	0.0233	0	7	0.0122	8.58	0.0327	0.0431	0.0648	2.143166666666666	5
ENSG00000136942	11224	275	349	543	132	255	231	291	288	266	193	176	167	133	234	448	754	185	279	264	240	320	231	413	244	173	263	245	281.18518518518516	8
ENSG00000178449	84987	19.8	10.8	8.48	10.9	17	15.7	10.1	9.3	29.8	9.87	27	26.6	15.1	12.2	11.4	10.4	2.7	10.7	14.7	7.38	4.98	16.4	11.9	11.7	8.45	15.1	12.1	13.354074074074072	10
ENSG00000023734	11171	44.3	34.5	34.4	51.3	31.6	22.7	34.8	32.7	42.4	29.9	34.6	40	22.2	25.8	26.7	20.2	9.09	32.7	28.3	11.3	18.1	23.2	21.2	21.5	40.3	49.9	32.1	30.214444444444442	14
ENSG00000170476	51237	5.3	60.8	17.7	0.239	41.1	48	1.16	5.25	1.16	9.75	1.02	1.09	2.25	9.39	68.4	2.87	0.148	0.0808	3.79	15.5	0.214	30.2	52.5	39.1	2.91	0.732	65.2	17.99458518518519	8
ENSG00000205426	3887	0.000753	0.106	0.184	0.198	0.086	0.187	0.25	0.0172	0.245	0.0452	0.00374	0.0252	0	0.177	0.0148	0.00645	0	1.09	0.102	0.503	0.0147	0.0486	0.134	0.0767	0.282	0.429	0.0227	0.15737196296296296	10
ENSG00000184908	1188	0.465	0.00637	0.0127	0.0658	0.209	0.0304	0.26	0.0534	0.186	0.101	0.807	65.3	0.00889	0.285	0.0125	0.584	0.155	0.119	0.203	9.92	0.0361	0.00851	0.0457	0.167	1.04	5.12	0.0484	3.1573988888888893	3
ENSG00000175130	65108	25.8	47.5	18.4	128	59.2	29.3	72.3	7.01	12.9	59.1	7.3	9.59	8.64	23.1	87	133	1.73	21.9	51.6	17.7	7.36	27.2	30.3	67	87.5	64.1	38.8	42.345555555555556	11
ENSG00000151224	4143	0.0451	0.0335	0.00611	0.0466	0.0629	0.0462	0.0485	0.0992	0.017	0.06	0.0798	0.333	313	0.222	0.0921	3.4	5.13	0.0636	0.0335	0.0437	1.85	0.0139	0.00613	0.0588	2.72	0.243	0.0981	12.142694074074074	1
ENSG00000158467	23382	4.11	5.09	0.588	11.6	37.6	13.6	3.1	3.24	2.89	15.3	1.01	8.21	1.29	17.7	2.99	3.63	1.14	3.85	3.63	3.26	7.7	9.76	2.32	9.34	4.15	17.8	4.47	7.383999999999999	10
ENSG00000078804	58476	14.7	6.67	31.7	34.7	21	9.8	11.3	35.1	9.43	16	29.8	15.6	14.4	8.35	2.88	3.02	2.16	5.17	17.1	2.52	2.1	10.7	2.66	6.59	14.2	11.8	10.9	12.975925925925926	11
ENSG00000162522	57648	19.2	3.84	0.435	3.86	22.4	23.6	4.54	16.4	2.41	10.6	1.11	14.8	1.39	11.1	0.613	7.67	4.98	5.91	15.5	15.9	27.9	22.2	0.549	21.4	2.89	13.6	13.3	10.670259259259259	13
ENSG00000071967	79901	62.2	16.4	5.55	10.7	29.3	108	60.1	42.4	90.1	107	34	16	7.33	87.5	18.5	101	2.99	18.4	39.2	10.8	44.3	130	15.7	18.6	20.2	155	51.1	48.23592592592592	10
ENSG00000108244	25984	0.089	2.12	0.968	0.0332	0.129	0.325	2.57	5.37	0.0905	3.81	0.0535	0.107	0.115	0.478	0.0147	0.0466	0.239	45.8	7.92	36	39.5	0.123	1.23	0.0802	14.5	0.0168	2.98	6.100314814814813	5
