gene_id	ENSGID	count_samples_type	ID	count_samples	range	project_id	sample_type	sample_count	gene_id	min	q1	q2	q3	max	avg	q3-q1	SD	CV	gene_symbol	times	Sampletype	ID	count_samples	range	project_id	sample_type	sample_count	gene_id	min	q1	q2	q3	max	avg	q3-q1	SD	CV	gene_symbol	times	Sampletype	
20234	ENSG00000169344	2	TCGA-KIRC_avg_Primary_Tumor	538	6.6339965	TCGA-KIRC	Primary_Tumor	538	20234	0.0	8.9499997E-3	3.2049999E-2	0.14905	765.08221	6.6339965	0.1401	42.235298	6.3664938623347	ADMCKD2;FJHN;HNFJ;HNFJ1;MCKD2;THGP;THP;UMOD;	1	Solid_Tissue_Normal,2000-<3000;	TCGA-KIRC_avg_Solid_Tissue_Normal	72	2000-<3000	TCGA-KIRC	Solid_Tissue_Normal	72	20234	0.2947	1214.8551	2283.8748	3841.1978	10708.178	2746.6721	2626.3425	2207.4292	0.80367408981946	ADMCKD2;FJHN;HNFJ;HNFJ1;MCKD2;THGP;THP;UMOD;	1	Solid_Tissue_Normal,2000-<3000;
15366	ENSG00000254647	2	TCGA-PAAD_avg_Primary_Tumor	177	1000-<2000	TCGA-PAAD	Primary_Tumor	177	15366	0.0	28.1094	443.63129	1661.6007	29297.371	1742.3268	1633.4913	3594.0264	2.0627739870614	IDDM;IDDM1;IDDM2;ILPR;IRDN;MODY10;INS;	2	Primary_Tumor,1000-<2000;Solid_Tissue_Normal,1000-<2000;	TCGA-PAAD_avg_Solid_Tissue_Normal	4	1090.8566	TCGA-PAAD	Solid_Tissue_Normal	4	15366	0.0	597.11218	978.80231	1472.5468	2405.8218	1090.8566	875.43451	1001.8214	0.91838047274041	IDDM;IDDM1;IDDM2;ILPR;IRDN;MODY10;INS;	2	Primary_Tumor,1000-<2000;Solid_Tissue_Normal,1000-<2000;
26812	ENSG00000091704	2	TCGA-PAAD_avg_Primary_Tumor	177	1000-<2000	TCGA-PAAD	Primary_Tumor	177	26812	0.0	0.37360001	11.2696	323.72281	32221.178	1370.2549	323.34921	4412.1226	3.2199283505573	CPA;CPA1;	1	Primary_Tumor,1000-<2000;	TCGA-PAAD_avg_Solid_Tissue_Normal	4	433.23166	TCGA-PAAD	Solid_Tissue_Normal	4	26812	0.43189999	18.5459	156.0699	570.75568	1420.3549	433.23166	552.20978	670.80609	1.548377350815	CPA;CPA1;	1	Primary_Tumor,1000-<2000;
52401	ENSG00000137392	2	TCGA-PAAD_avg_Primary_Tumor	177	1000-<2000	TCGA-PAAD	Primary_Tumor	177	52401	0.0	0.44510001	13.2849	374.8461	42314.027	1716.9196	374.401	6344.439	3.69524525202	CLPS;	1	Primary_Tumor,1000-<2000;	TCGA-PAAD_avg_Solid_Tissue_Normal	4	249.90822	TCGA-PAAD	Solid_Tissue_Normal	4	52401	4.7699999E-2	10.484775	46.594452	286.01791	906.3963	249.90822	275.53311	439.01761	1.7567153653449	CLPS;	1	Primary_Tumor,1000-<2000;
55953	ENSG00000142789	2	TCGA-PAAD_avg_Primary_Tumor	177	1000-<2000	TCGA-PAAD	Primary_Tumor	177	55953	0.0	0.62169999	22.9765	580.51093	37795.656	1474.4114	579.88922	4572.0586	3.1009381777705	ELA3;ELA3A;CELA3A;	1	Primary_Tumor,1000-<2000;	TCGA-PAAD_avg_Solid_Tissue_Normal	4	766.61737	TCGA-PAAD	Solid_Tissue_Normal	4	55953	0.2342	84.268623	278.54715	960.89587	2509.1409	766.61737	876.62726	1176.9233	1.5352160622189	ELA3;ELA3A;CELA3A;	1	Primary_Tumor,1000-<2000;
59927	ENSG00000204983	2	TCGA-PAAD_avg_Primary_Tumor	177	1000-<2000	TCGA-PAAD	Primary_Tumor	177	59927	2.1299999E-2	3.6194	28.195499	651.94702	45729.879	1910.1888	648.32758	6315.8506	3.3064012311244	TRP1;TRY1;TRY4;TRYP1;PRSS1;	1	Primary_Tumor,1000-<2000;	TCGA-PAAD_avg_Solid_Tissue_Normal	4	391.23224	TCGA-PAAD	Solid_Tissue_Normal	4	59927	0.26179999	29.684675	207.177	568.72455	1150.3131	391.23224	539.03986	533.245	1.3629883876646	TRP1;TRY1;TRY4;TRYP1;PRSS1;	1	Primary_Tumor,1000-<2000;
5494	ENSG00000175535	2	TCGA-PAAD_avg_Primary_Tumor	177	2000-<3000	TCGA-PAAD	Primary_Tumor	177	5494	0.0	0.3678	10.9916	548.27661	72381.266	2716.3774	547.90881	9934.1152	3.6571189261109	PL;PNLIPD;PTL;PNLIP;	1	Primary_Tumor,2000-<3000;	TCGA-PAAD_avg_Solid_Tissue_Normal	4	328.9433	TCGA-PAAD	Solid_Tissue_Normal	4	5494	3.7300002E-2	4.6214499	90.0009	414.32275	1135.7341	328.9433	409.70129	543.85651	1.6533442389615	PL;PNLIPD;PTL;PNLIP;	1	Primary_Tumor,2000-<3000;
26157	ENSG00000205420	2	TCGA-LUSC_avg_Primary_Tumor	502	1000-<2000	TCGA-LUSC	Primary_Tumor	502	26157	0.25049999	341.78687	1076.0575	1820.5051	5995.6973	1218.8756	1478.7183	1043.7234	0.85630018354621	CK-6C;CK-6E;CK6A;CK6C;CK6D;K6A;K6C;K6D;KRT6C;KRT6D;PC3;KRT6A;	1	Primary_Tumor,1000-<2000;	TCGA-LUSC_avg_Solid_Tissue_Normal	49	3.9270265	TCGA-LUSC	Solid_Tissue_Normal	49	26157	4.3099999E-2	0.57770002	1.6849	2.5678999	60.5858	3.9270265	1.9902	9.8015413	2.4959193170711	CK-6C;CK-6E;CK6A;CK6C;CK6D;K6A;K6C;K6D;KRT6C;KRT6D;PC3;KRT6A;	1	Primary_Tumor,1000-<2000;
32572	ENSG00000149021	2	TCGA-LUSC_avg_Primary_Tumor	502	120.62382	TCGA-LUSC	Primary_Tumor	502	32572	0.0	1.397475	10.27435	61.0364	12592.243	120.62382	59.638924	609.95911	5.056705300827	CC10;CC16;CCPBP;CCSP;UGB;UP-1;UP1;SCGB1A1;	1	Solid_Tissue_Normal,2000-<3000;	TCGA-LUSC_avg_Solid_Tissue_Normal	49	2000-<3000	TCGA-LUSC	Solid_Tissue_Normal	49	32572	1.9153	290.1459	835.74951	1970.5392	11945.878	2132.0747	1680.3933	3198.9343	1.5003856572192	CC10;CC16;CCPBP;CCSP;UGB;UP-1;UP1;SCGB1A1;	1	Solid_Tissue_Normal,2000-<3000;
59047	ENSG00000168878	2	TCGA-LUSC_avg_Primary_Tumor	502	359.00674	TCGA-LUSC	Primary_Tumor	502	59047	0.0105	13.5691	127.3002	472.34338	3491.1721	359.00674	458.77426	549.73602	1.5312693572271	PSP-B;SFTB3;SFTP3;SMDP1;SP-B;SFTPB;	1	Solid_Tissue_Normal,3000-<4000;	TCGA-LUSC_avg_Solid_Tissue_Normal	49	3000-<4000	TCGA-LUSC	Solid_Tissue_Normal	49	59047	976.93799	2626.8259	3277.0828	4355.978	6976.3428	3412.1357	1729.1521	1237.8685	0.36278407684665	PSP-B;SFTB3;SFTP3;SMDP1;SP-B;SFTPB;	1	Solid_Tissue_Normal,3000-<4000;
