gene_id	ENSGID	count_samples_type	ID	count_samples	range	project_id	sample_type	sample_count	gene_id	min	q1	q2	q3	max	avg	q3-q1	SD	CV	gene_symbol	times	Sampletype	ID	count_samples	range	project_id	sample_type	sample_count	gene_id	min	q1	q2	q3	max	avg	q3-q1	SD	CV	gene_symbol	times	Sampletype	
50468	ENSG00000211895	2	TCGA-COAD_avg_Primary_Tumor	478	1000-<2000	TCGA-COAD	Primary_Tumor	478	50468	0.67739999	91.113579	385.64395	1144.8346	26781.945	1026.4542	1053.7211	1946.0472	1.8958928708168	IGHA1;	2	Primary_Tumor,1000-<2000;Solid_Tissue_Normal,6000-<7000;	TCGA-COAD_avg_Solid_Tissue_Normal	41	6093.8315	TCGA-COAD	Solid_Tissue_Normal	41	50468	256.6347	3494.7869	5935.6143	7283.7065	17405.01	6093.8315	3788.9197	3740.335	0.61379035505002	IGHA1;	2	Primary_Tumor,1000-<2000;Solid_Tissue_Normal,6000-<7000;
49113	ENSG00000211592	2	TCGA-COAD_avg_Primary_Tumor	478	465.31381	TCGA-COAD	Primary_Tumor	478	49113	1.0544	69.10775	228.63464	630.21912	4471.2236	465.31381	561.11139	652.36188	1.4019826318931	IGKC;	1	Solid_Tissue_Normal,1000-<2000;	TCGA-COAD_avg_Solid_Tissue_Normal	41	1000-<2000	TCGA-COAD	Solid_Tissue_Normal	41	49113	87.247398	1252.644	1740.6189	2296.8081	4979.855	1847.4061	1044.1641	1042.4646	0.56428556774821	IGKC;	1	Solid_Tissue_Normal,1000-<2000;
33216	ENSG00000211890	2	TCGA-COAD_avg_Primary_Tumor	478	562.8808	TCGA-COAD	Primary_Tumor	478	33216	0.13510001	21.708925	127.06725	603.47845	14075.269	562.8808	581.76947	1114.3726	1.9797665864602	IGHA2;	1	Solid_Tissue_Normal,6000-<7000;	TCGA-COAD_avg_Solid_Tissue_Normal	41	6000-<7000	TCGA-COAD	Solid_Tissue_Normal	41	33216	236.5247	2746.1667	5658.3994	8175.4453	20791.801	6606.4292	5429.2788	4819.7568	0.72955550632405	IGHA2;	1	Solid_Tissue_Normal,6000-<7000;
29139	ENSG00000248527	2	TCGA-KIRC_avg_Primary_Tumor	538	1000-<2000	TCGA-KIRC	Primary_Tumor	538	29139	1.1645	515.12964	755.18787	1252.6765	7535.2617	1039.568	737.54688	879.97131	0.8464778735013	MTATP6P1;	2	Primary_Tumor,1000-<2000;Solid_Tissue_Normal,1000-<2000;	TCGA-KIRC_avg_Solid_Tissue_Normal	72	1350.4941	TCGA-KIRC	Solid_Tissue_Normal	72	29139	24.7915	773.3913	1284.4648	1760.1732	5158.9165	1350.4941	986.78192	745.02155	0.55166590509355	MTATP6P1;	2	Primary_Tumor,1000-<2000;Solid_Tissue_Normal,1000-<2000;
29139	ENSG00000248527	2	TCGA-UCEC_avg_Primary_Tumor	551	1000-<2000	TCGA-UCEC	Primary_Tumor	551	29139	3.3885	499.70175	840.13171	1365.2415	7450.1948	1120.0754	865.53967	997.95392	0.89097030432058	MTATP6P1;	1	Primary_Tumor,1000-<2000;	TCGA-UCEC_avg_Solid_Tissue_Normal	35	904.7522	TCGA-UCEC	Solid_Tissue_Normal	35	29139	384.0062	665.13599	802.20398	1048.7162	2570.9456	904.7522	383.58014	431.62717	0.47706672611573	MTATP6P1;	1	Primary_Tumor,1000-<2000;
50468	ENSG00000211895	2	TCGA-PAAD_avg_Primary_Tumor	177	1000-<2000	TCGA-PAAD	Primary_Tumor	177	50468	0.0	190.5132	536.19873	1236.365	7163.8828	1073.5171	1045.8518	1417.667	1.3205816656297	IGHA1;	1	Primary_Tumor,1000-<2000;	TCGA-PAAD_avg_Solid_Tissue_Normal	4	585.81543	TCGA-PAAD	Solid_Tissue_Normal	4	50468	165.79761	176.63292	519.23132	928.41382	1139.0013	585.81543	751.78088	490.27896	0.83691711568608	IGHA1;	1	Primary_Tumor,1000-<2000;
33792	ENSG00000211896	2	TCGA-LUSC_avg_Primary_Tumor	502	1000-<2000	TCGA-LUSC	Primary_Tumor	502	33792	0.48460001	251.76875	806.53442	1907.6797	16810.68	1499.455	1655.9109	2001.1423	1.3345797639809	IGHG1;	1	Primary_Tumor,1000-<2000;	TCGA-LUSC_avg_Solid_Tissue_Normal	49	523.83655	TCGA-LUSC	Solid_Tissue_Normal	49	33792	18.225201	89.5802	182.69949	507.92761	4572.1865	523.83655	418.34741	880.00555	1.6799239190163	IGHG1;	1	Primary_Tumor,1000-<2000;
49113	ENSG00000211592	2	TCGA-LUSC_avg_Primary_Tumor	502	2000-<3000	TCGA-LUSC	Primary_Tumor	502	49113	0.40580001	344.63266	1067.1647	2602.3706	29506.189	2052.9949	2257.738	2972.8088	1.4480351607303	IGKC;	1	Primary_Tumor,2000-<3000;	TCGA-LUSC_avg_Solid_Tissue_Normal	49	731.27112	TCGA-LUSC	Solid_Tissue_Normal	49	49113	36.820999	117.9062	335.85971	604.9621	5822.8467	731.27112	487.05591	1172.3625	1.6031844659748	IGKC;	1	Primary_Tumor,2000-<3000;
50468	ENSG00000211895	2	TCGA-LUSC_avg_Primary_Tumor	502	2000-<3000	TCGA-LUSC	Primary_Tumor	502	50468	1.0177	418.58231	1446.6298	3474.0767	42644.055	2869.3137	3055.4944	4498.9048	1.5679375873053	IGHA1;	2	Primary_Tumor,2000-<3000;Solid_Tissue_Normal,1000-<2000;	TCGA-LUSC_avg_Solid_Tissue_Normal	49	1910.6775	TCGA-LUSC	Solid_Tissue_Normal	49	50468	113.6293	388.27359	720.91333	2102.5625	17733.664	1910.6775	1714.2889	3067.4136	1.6054062498773	IGHA1;	2	Primary_Tumor,2000-<3000;Solid_Tissue_Normal,1000-<2000;
50468	ENSG00000211895	2	TCGA-BLCA_avg_Primary_Tumor	414	492.00552	TCGA-BLCA	Primary_Tumor	414	50468	3.9999999E-2	19.386024	101.8103	467.15384	18309.477	492.00552	447.76779	1235.0148	2.5101645201054	IGHA1;	1	Solid_Tissue_Normal,1000-<2000;	TCGA-BLCA_avg_Solid_Tissue_Normal	19	1000-<2000	TCGA-BLCA	Solid_Tissue_Normal	19	50468	0.958	40.352299	79.516296	643.4776	9844.2324	1342.5093	603.12531	3021.8318	2.2508833272142	IGHA1;	1	Solid_Tissue_Normal,1000-<2000;
